State Name,Year,Population
Alabama,2019,4903185
Alaska,2019,731545
Arizona,2019,7278717
Arkansas,2019,3017804
California,2019,39512223
Colorado,2019,5758736
Connecticut,2019,3565287
Delaware,2019,973764
District of Columbia,2019,705749
Florida,2019,21477737
Georgia,2019,10617423
Hawaii,2019,1415872
Idaho,2019,1787065
Illinois,2019,12671821
Indiana,2019,6732219
Iowa,2019,3155070
Kansas,2019,2913314
Kentucky,2019,4467673
Louisiana,2019,4648794
Maine,2019,1344212
Maryland,2019,6045680
Massachusetts,2019,6892503
Michigan,2019,9986857
Minnesota,2019,5639632
Mississippi,2019,2976149
Missouri,2019,6137428
Montana,2019,1068778
Nebraska,2019,1934408
Nevada,2019,3080156
New Hampshire,2019,1359711
New Jersey,2019,8882190
New Mexico,2019,2096829
New York,2019,19453561
North Carolina,2019,10488084
North Dakota,2019,762062
Ohio,2019,11689100
Oklahoma,2019,3956971
Oregon,2019,4217737
Pennsylvania,2019,12801989
Rhode Island,2019,1059361
South Carolina,2019,5148714
South Dakota,2019,884659
Tennessee,2019,6829174
Texas,2019,28995881
Utah,2019,3205958
Vermont,2019,623989
Virginia,2019,8535519
Washington,2019,7614893
West Virginia,2019,1792147
Wisconsin,2019,5822434
Wyoming,2019,578759
Puerto Rico,2019,3193694
Alabama,2018,4887871
Alaska,2018,737438
Arizona,2018,7171646
Arkansas,2018,3013825
California,2018,39557045
Colorado,2018,5695564
Connecticut,2018,3572665
Delaware,2018,967171
District of Columbia,2018,702455
Florida,2018,21299325
Georgia,2018,10519475
Hawaii,2018,1420491
Idaho,2018,1754208
Illinois,2018,12741080
Indiana,2018,6691878
Iowa,2018,3156145
Kansas,2018,2911510
Kentucky,2018,4468402
Louisiana,2018,4659978
Maine,2018,1338404
Maryland,2018,6042718
Massachusetts,2018,6902149
Michigan,2018,9995915
Minnesota,2018,5611179
Mississippi,2018,2986530
Missouri,2018,6126452
Montana,2018,1062305
Nebraska,2018,1929268
Nevada,2018,3034392
New Hampshire,2018,1356458
New Jersey,2018,8908520
New Mexico,2018,2095428
New York,2018,19542209
North Carolina,2018,10383620
North Dakota,2018,760077
Ohio,2018,11689442
Oklahoma,2018,3943079
Oregon,2018,4190713
Pennsylvania,2018,12807060
Rhode Island,2018,1057315
South Carolina,2018,5084127
South Dakota,2018,882235
Tennessee,2018,6770010
Texas,2018,28701845
Utah,2018,3161105
Vermont,2018,626299
Virginia,2018,8517685
Washington,2018,7535591
West Virginia,2018,1805832
Wisconsin,2018,5813568
Wyoming,2018,577737
Puerto Rico,2018,3195153
Alabama,2017,4874747
Alaska,2017,739795
Arizona,2017,7016270
Arkansas,2017,3004279
California,2017,39536653
Colorado,2017,5607154
Connecticut,2017,3588184
Delaware,2017,961939
District of Columbia,2017,693972
Florida,2017,20984400
Georgia,2017,10429379
Hawaii,2017,1427538
Idaho,2017,1716943
Illinois,2017,12802023
Indiana,2017,6666818
Iowa,2017,3145711
Kansas,2017,2913123
Kentucky,2017,4454189
Louisiana,2017,4684333
Maine,2017,1335907
Maryland,2017,6052177
Massachusetts,2017,6859819
Michigan,2017,9962311
Minnesota,2017,5576606
Mississippi,2017,2984100
Missouri,2017,6113532
Montana,2017,1050493
Nebraska,2017,1920076
Nevada,2017,2998039
New Hampshire,2017,1342795
New Jersey,2017,9005644
New Mexico,2017,2088070
New York,2017,19849399
North Carolina,2017,10273419
North Dakota,2017,755393
Ohio,2017,11658609
Oklahoma,2017,3930864
Oregon,2017,4142776
Pennsylvania,2017,12805537
Rhode Island,2017,1059639
South Carolina,2017,5024369
South Dakota,2017,869666
Tennessee,2017,6715984
Texas,2017,28304596
Utah,2017,3101833
Vermont,2017,623657
Virginia,2017,8470020
Washington,2017,7405743
West Virginia,2017,1815857
Wisconsin,2017,5795483
Wyoming,2017,579315
Puerto Rico,2017,3337177
Alabama,2016,4863300
Alaska,2016,741894
Arizona,2016,6931071
Arkansas,2016,2988248
California,2016,39250017
Colorado,2016,5540545
Connecticut,2016,3576452
Delaware,2016,952065
District of Columbia,2016,681170
Florida,2016,20612439
Georgia,2016,10310371
Hawaii,2016,1428557
Idaho,2016,1683140
Illinois,2016,12801539
Indiana,2016,6633053
Iowa,2016,3134693
Kansas,2016,2907289
Kentucky,2016,4436974
Louisiana,2016,4681666
Maine,2016,1331479
Maryland,2016,6016447
Massachusetts,2016,6811779
Michigan,2016,9928300
Minnesota,2016,5519952
Mississippi,2016,2988726
Missouri,2016,6093000
Montana,2016,1042520
Nebraska,2016,1907116
Nevada,2016,2940058
New Hampshire,2016,1334795
New Jersey,2016,8944469
New Mexico,2016,2081015
New York,2016,19745289
North Carolina,2016,10146788
North Dakota,2016,757953
Ohio,2016,11614373
Oklahoma,2016,3923561
Oregon,2016,4093465
Pennsylvania,2016,12784227
Rhode Island,2016,1056426
South Carolina,2016,4961119
South Dakota,2016,865454
Tennessee,2016,6651194
Texas,2016,27862596
Utah,2016,3051217
Vermont,2016,624594
Virginia,2016,8411808
Washington,2016,7288000
West Virginia,2016,1831102
Wisconsin,2016,5778709
Wyoming,2016,585501
Puerto Rico,2016,3411307
Alabama,2015,4858979
Alaska,2015,738432
Arizona,2015,6828065
Arkansas,2015,2978204
California,2015,39144818
Colorado,2015,5456574
Connecticut,2015,3590886
Delaware,2015,945934
District of Columbia,2015,672228
